x,y
3.745401188,3.229268957
9.507143064,14.18565441
7.319939418,9.524230554
5.986584842,6.672065988
1.560186404,-3.358149182
1.559945203,-2.599953802
0.580836122,-4.298966528
8.661761458,13.38064514
6.011150117,7.365918524
7.080725778,7.398411401
0.205844943,-4.264226145
9.699098522,14.01311476
8.324426408,10.97193082
2.123391107,-0.141541498
1.818249672,-0.332501133
1.834045099,-0.400629684
3.04242243,0.245627336
5.247564316,5.185916257
4.319450186,3.970163804
2.912291402,1.800127931
6.118528947,6.757883657
1.394938607,-2.395781764
2.921446485,-0.263442003
3.663618433,1.131030242
4.560699842,4.933925507
7.851759614,12.05975926
1.996737822,-1.078534478
5.142344384,6.288221666
5.924145689,7.209927402
0.464504127,-4.7161115
6.075448519,7.512292644
1.705241237,-0.05148096
0.65051593,-3.734794179
9.488855373,15.5423544
9.656320331,11.69289556
8.083973481,11.98984947
3.046137692,1.179322452
0.97672114,-3.34556507
6.842330265,8.776421307
4.401524937,1.81548096
1.220382348,-2.778907191
4.951769101,5.260650774
0.343885211,-2.834335533
9.093204021,12.66813782
2.587799816,-0.632893971
6.625222844,7.748688643
3.117110761,2.149623639
5.200680212,5.730111533
5.467102793,5.404445383
1.848544555,-0.789643456
